unit_id,cycle,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_7,sensor_9,sensor_12,sensor_14,sensor_17,RUL,sensor_2_rollmean_5,sensor_3_rollmean_5,sensor_4_rollmean_5,sensor_7_rollmean_5,sensor_9_rollmean_5,sensor_12_rollmean_5,sensor_14_rollmean_5,sensor_17_rollmean_5,sensor_2_delta,sensor_3_delta,sensor_4_delta,sensor_7_delta,sensor_9_delta,sensor_12_delta,sensor_14_delta,sensor_17_delta
1,1,-0.0007,-0.0004,100.0,641.82,1589.7,1400.6,554.36,9046.19,521.66,8138.62,392,150,641.82,1589.7,1400.6,554.36,9046.19,521.66,8138.62,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0019,-0.0003,100.0,642.15,1591.82,1403.14,553.75,9044.07,522.28,8131.49,392,150,641.985,1590.76,1401.87,554.0550000000001,9045.130000000001,521.97,8135.055,392.0,0.32999999999992724,2.119999999999891,2.540000000000191,-0.6100000000000136,-2.1200000000008004,0.6200000000000045,-7.130000000000109,0.0
1,3,-0.0043,0.0003,100.0,642.35,1587.99,1404.2,554.26,9052.94,522.42,8133.23,390,150,642.1066666666667,1589.8366666666668,1402.6466666666668,554.1233333333333,9047.733333333334,522.12,8134.446666666667,391.3333333333333,0.20000000000004547,-3.8299999999999272,1.0599999999999454,0.5099999999999909,8.8700000000008,0.13999999999998636,1.7399999999997817,-2.0
1,4,0.0007,0.0,100.0,642.35,1582.79,1401.87,554.45,9049.48,522.86,8133.83,392,150,642.1675,1588.075,1402.4524999999999,554.205,9048.17,522.305,8134.2925,391.5,0.0,-5.2000000000000455,-2.3300000000001546,0.19000000000005457,-3.460000000000946,0.44000000000005457,0.6000000000003638,2.0
1,5,-0.0019,-0.0002,100.0,642.37,1582.85,1406.22,554.0,9055.15,522.19,8133.8,393,150,642.208,1587.03,1403.206,554.164,9049.566,522.2819999999999,8134.194,391.8,0.01999999999998181,0.05999999999994543,4.350000000000136,-0.4500000000000455,5.670000000000073,-0.6699999999999591,-0.02999999999974534,1.0
1,6,-0.0043,-0.0001,100.0,642.1,1584.47,1398.37,554.67,9049.68,521.68,8132.85,391,150,642.2639999999999,1585.984,1402.76,554.226,9050.264,522.2860000000001,8133.039999999999,391.6,-0.2699999999999818,1.6200000000001182,-7.850000000000136,0.6699999999999591,-5.469999999999345,-0.5100000000001046,-0.9499999999998181,-2.0
1,7,0.001,0.0001,100.0,642.48,1592.32,1397.77,554.34,9059.13,522.32,8132.32,392,150,642.3300000000002,1586.084,1401.6860000000001,554.3439999999999,9053.276,522.294,8133.206,391.6,0.37999999999999545,7.849999999999909,-0.599999999999909,-0.32999999999992724,9.449999999998909,0.6400000000001,-0.5300000000006548,1.0
1,8,-0.0034,0.0003,100.0,642.56,1582.96,1400.97,553.85,9040.8,522.47,8131.07,391,150,642.372,1585.078,1401.0399999999997,554.2620000000001,9050.848000000002,522.3040000000001,8132.773999999999,391.8,0.07999999999992724,-9.3599999999999,3.2000000000000455,-0.4900000000000091,-18.329999999999927,0.14999999999997726,-1.25,-1.0
1,9,0.0008,0.0001,100.0,642.12,1590.98,1394.8,553.69,9046.46,521.79,8125.69,392,150,642.326,1586.716,1399.626,554.11,9050.244,522.09,8131.146000000001,391.8,-0.4399999999999409,8.019999999999982,-6.170000000000073,-0.15999999999996817,5.6599999999998545,-0.6800000000000637,-5.380000000000109,1.0
1,10,-0.0033,0.0001,100.0,641.71,1591.24,1400.46,553.59,9051.7,521.79,8129.38,393,150,642.1940000000001,1588.394,1398.474,554.028,9049.554,522.01,8130.262,391.8,-0.40999999999996817,0.2599999999999909,5.660000000000082,-0.10000000000002274,5.240000000001601,0.0,3.6900000000005093,1.0
1,11,0.0018,-0.0003,100.0,642.28,1581.75,1400.64,554.54,9049.61,521.4,8140.58,392,150,642.2299999999999,1587.85,1398.928,554.0020000000001,9049.539999999999,521.954,8131.808,392.0,0.5699999999999363,-9.490000000000009,0.18000000000006366,0.9499999999999318,-2.0900000000001455,-0.38999999999998636,11.199999999999818,-1.0
1,12,0.0016,0.0002,100.0,642.06,1583.41,1400.15,554.52,9049.37,521.8,8134.25,391,150,642.146,1586.068,1399.404,554.038,9047.588,521.85,8132.194,391.8,-0.22000000000002728,1.6600000000000819,-0.4900000000000091,-0.01999999999998181,-0.23999999999978172,0.39999999999997726,-6.329999999999927,-1.0
1,13,-0.0019,0.0004,100.0,643.07,1582.19,1400.83,553.44,9046.82,521.85,8128.1,393,150,642.248,1585.9140000000002,1399.3760000000002,553.956,9048.792,521.7259999999999,8131.6,392.2,1.0100000000001046,-1.2200000000000273,0.6799999999998363,-1.0799999999999272,-2.5500000000010914,0.05000000000006821,-6.149999999999636,2.0
1,14,0.0009,-0.0,100.0,642.35,1592.95,1399.16,554.48,9047.37,521.67,8134.43,393,150,642.294,1586.308,1400.248,554.114,9048.973999999998,521.702,8133.348000000001,392.4,-0.7200000000000273,10.759999999999991,-1.6699999999998454,1.0399999999999636,0.5500000000010914,-0.18000000000006366,6.329999999999927,0.0
1,15,-0.0018,-0.0003,100.0,642.43,1583.82,1402.13,553.64,9052.22,522.5,8127.56,391,150,642.4379999999999,1584.824,1400.582,554.124,9049.078,521.8439999999999,8132.9839999999995,392.0,0.07999999999992724,-9.13000000000011,2.9700000000000273,-0.8400000000000318,4.849999999998545,0.8300000000000409,-6.869999999999891,-2.0
1,16,0.0006,0.0005,100.0,642.13,1587.98,1404.5,553.94,9049.34,521.49,8136.11,392,150,642.408,1586.0700000000002,1401.354,554.0040000000001,9049.024000000001,521.8619999999999,8132.089999999999,392.0,-0.2999999999999545,4.160000000000082,2.369999999999891,0.3000000000000682,-2.8799999999991996,-1.009999999999991,8.549999999999272,1.0
